Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Metformin 222,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 222,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 223,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 223,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 223,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 223,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 223,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 224,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 224,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Amoxicillin 224,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 224,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 224,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 225,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 225,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 225,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 225,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Atorvastatin 225,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 226,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 226,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 226,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 226,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 226,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 227,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 227,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 227,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 227,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 227,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 228,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 228,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 228,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 228,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 228,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 229,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 229,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 229,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 229,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 229,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 230,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 230,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 230,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 230,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 230,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 231,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 231,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 231,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 231,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 231,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 232,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 232,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 232,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 232,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 232,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Paracetamol 233,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 233,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 233,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 233,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 233,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 234,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 234,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 234,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 234,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 234,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 235,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 235,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 235,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 235,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 235,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 236,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 236,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 236,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 236,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 236,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 237,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 237,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Amoxicillin 237,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 237,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 237,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 238,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 238,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 238,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 238,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 238,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 239,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 239,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 239,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 239,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 239,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 240,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 240,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 240,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 240,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 240,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 241,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 241,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 241,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 241,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 241,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 242,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 242,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 242,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 242,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 242,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 243,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 243,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 243,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 243,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 243,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 244,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 244,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 244,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 244,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 244,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 245,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 245,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 245,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 245,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 245,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 246,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 246,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 246,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 246,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 246,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 247,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 247,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 247,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 247,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 247,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 248,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 248,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 248,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 248,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 248,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 249,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 249,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 249,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 249,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Atorvastatin 249,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 250,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 250,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 250,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 250,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 250,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 251,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 251,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 251,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 251,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 251,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 252,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 252,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 252,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 252,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 252,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 253,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 253,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 253,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Metformin 253,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 253,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 254,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 254,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 254,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 254,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 254,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 255,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 255,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 255,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 255,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 255,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 256,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 256,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 256,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 256,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 256,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 257,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Ibuprofen 257,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 257,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 257,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 257,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 258,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Ibuprofen 258,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 258,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Metformin 258,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 258,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 259,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 259,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 259,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Metformin 259,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 259,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 260,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 260,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 260,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 260,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 260,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 261,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 261,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 261,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 261,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 261,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 262,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 262,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 262,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 262,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 262,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 263,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 263,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 263,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 263,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 263,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 264,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 264,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 264,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 264,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 264,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 265,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 265,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 265,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 265,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 265,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 266,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 266,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 266,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 266,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 266,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 267,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 267,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
